"name","group","element","units","context","S434050","S434051","S434052","S434053","S434054","S434055","S434056","S434057","S434058","S434059","S434060","S434061","S434062","S434063","S434064","S434065","S434066","S434067","S434068","S434069","S434070","S434071","S434072","S434073","S434074","S434075","S434076","S434077","S434078","S434079","S434080","S434081","S434082","S434083","S434084","S434085","S434086","S434087","S434088","S434089","S434090","S434091","S434092","S434093","S434094","S434095","S434096","S434097","S434098","S434099","S434100","S434101","S434102","S434103","S434104","S434105","S434106","S434107","S434108","S434109","S434110","S434111","S434112","S434113","S434114","S434115","S434116","S434117","S434118","S434119","S434120","S434121","S434122","S434123","S434124"
Pinaceae,TRSH,needle,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Pinus sp.,TRSH,needle,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,1,,,,,,,,,,2,,,,2,,,1,,
Pinus sp.,TRSH,shoot, no needles,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Pinus sp.,TRSH,bud scale,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,
Pinus sp.,TRSH,shoot, with needles,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Pinus sylvestris,TRSH,seed,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Pinus/Picea,TRSH,microsporophyll,NISP,,3,11,3,,,7,5,14,21,7,10,15,5,14,17,26,27,32,10,11,10,5,11,14,13,6,9,18,13,4,11,13,7,10,10,3,14,9,10,10,,4,7,23,2,3,2,7,2,,,1,1,4,,,5,3,2,1,4,7,2,10,4,2,3,4,2,2,2,,,,
Pinus/Picea,TRSH,bud scale,NISP,,1,4,,,,2,2,3,7,6,,3,1,1,4,,4,15,2,4,3,5,2,1,,2,,,1,1,5,1,,1,5,1,,1,5,,9,2,3,5,1,2,,1,,2,,1,,2,4,3,2,,,2,3,4,3,7,,2,1,,,,,,3,4,
Pinus/Picea,TRSH,seed,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,0.5,,,,,,,,,,
Plumatella,BRYZ,statoblast,NISP,,,,,,,1,,,1,2,,,,1.5,,,,1,,,1.5,0.5,0.5,1,,1,1,1.5,2,10,5,16,1.5,3.5,6,6,5,3,2,2,1,8,3,2,3,2,,,1,,1,,,,,1,3,,3,1,4,8,1,1,3,2,,2,,1,3.5,8,3.5,,9
